Model,Population,N,Mixing_proportion,Lambda,average,Parameter_Bias,SE_Bias,Power,Coverage
Model 1,0.2,N = 1000,".10, .30, .60",0.3,0.28607899999999997,43.0395,18.63162,0.476095,0.854314
Model 1,0.2,N = 1000,".10, .30, .60",0.5,0.41353799999999996,106.769,14.74517,0.6479670000000001,0.652716
Model 1,0.2,N = 1000,".10, .30, .60",0.7,0.562035,181.0175,2.05377,0.809215,0.391892
Model 1,0.2,N = 1000,".10, .30, .60",0.9,0.678149,239.0745,3.21616,0.9335330000000001,0.176028
Model 1,0.2,N = 1000,".10, .30, .60",A,0.196533,-1.7335,9.00255,0.313574,0.895036
Model 1,0.2,N = 1000,".10, .30, .60",B,0.211254,5.627,17.59186,0.360049,0.91366
Model 1,0.2,N = 1000,".10, .30, .60",C,0.211708,5.854,11.14863,0.37247399999999997,0.885298
Model 1,0.2,N = 1000,".10, .30, .60",D,0.216277,8.1385,9.35394,0.363869,0.878688
Model 1,0.2,N = 1000,".33, .33, .33",0.3,0.241479,20.7395,11.17053,0.872032,0.910108
Model 1,0.2,N = 1000,".33, .33, .33",0.5,0.314495,57.2475,11.24636,0.889816,0.673252
Model 1,0.2,N = 1000,".33, .33, .33",0.7,0.39107600000000003,95.538,5.62259,0.910308,0.462022
Model 1,0.2,N = 1000,".33, .33, .33",0.9,0.46102000000000004,130.51,7.78387,0.926324,0.275308
Model 1,0.2,N = 1000,".33, .33, .33",A,0.202149,1.0745,10.10324,0.804805,0.92613
Model 1,0.2,N = 1000,".33, .33, .33",B,0.213696,6.848,15.99583,0.7989040000000001,0.946328
Model 1,0.2,N = 1000,".33, .33, .33",C,0.22865100000000002,14.3255,11.10181,0.813656,0.925628
Model 1,0.2,N = 1000,".33, .33, .33",D,0.23652199999999998,18.261,9.9284,0.8186,0.91398
Model 1,0.2,N = 1000,".60, .30, .10",0.3,0.22906500000000002,14.5325,4.46315,0.981992,0.9056040000000001
Model 1,0.2,N = 1000,".60, .30, .10",0.5,0.269127,34.5635,4.15117,0.96788,0.706576
Model 1,0.2,N = 1000,".60, .30, .10",0.7,0.314223,57.1115,5.88163,0.958834,0.504696
Model 1,0.2,N = 1000,".60, .30, .10",0.9,0.34741099999999997,73.7055,4.54063,0.942102,0.436294
Model 1,0.2,N = 1000,".60, .30, .10",A,0.201301,0.6505,2.08354,0.978216,0.951164
Model 1,0.2,N = 1000,".60, .30, .10",B,0.214122,7.061,12.60529,0.966622,0.954774
Model 1,0.2,N = 1000,".60, .30, .10",C,0.22473200000000002,12.366,6.34224,0.963042,0.926614
Model 1,0.2,N = 1000,".60, .30, .10",D,0.23079,15.395,8.47864,0.94678,0.9098160000000001
Model 1,0.2,N = 2500,".10, .30, .60",0.3,0.28526799999999997,42.634,7.9729,0.839648,0.834716
Model 1,0.2,N = 2500,".10, .30, .60",0.5,0.418199,109.0995,7.05413,0.916304,0.450644
Model 1,0.2,N = 2500,".10, .30, .60",0.7,0.563746,181.873,3.11396,0.968916,0.177892
Model 1,0.2,N = 2500,".10, .30, .60",0.9,0.66563,232.815,5.99935,0.987824,0.037722
Model 1,0.2,N = 2500,".10, .30, .60",A,0.18157199999999998,-9.214,10.66793,0.545413,0.947854
Model 1,0.2,N = 2500,".10, .30, .60",B,0.197193,-1.4035,9.81902,0.6568660000000001,0.939698
Model 1,0.2,N = 2500,".10, .30, .60",C,0.19143000000000002,-4.285,11.99986,0.59231,0.93581
Model 1,0.2,N = 2500,".10, .30, .60",D,0.19425,-2.875,10.70323,0.595699,0.931866
Model 1,0.2,N = 2500,".33, .33, .33",0.3,0.24065299999999998,20.3265,11.11744,1,0.882606
Model 1,0.2,N = 2500,".33, .33, .33",0.5,0.310714,55.357,7.96857,0.997204,0.427778
Model 1,0.2,N = 2500,".33, .33, .33",0.7,0.39395600000000003,96.978,10.31382,0.99733,0.119646
Model 1,0.2,N = 2500,".33, .33, .33",0.9,0.455954,127.977,5.80372,0.98946,0.07050000000000001
Model 1,0.2,N = 2500,".33, .33, .33",A,0.204896,2.448,6.72646,0.988714,0.960384
Model 1,0.2,N = 2500,".33, .33, .33",B,0.216179,8.0895,6.04005,0.996668,0.94022
Model 1,0.2,N = 2500,".33, .33, .33",C,0.228351,14.1755,5.67615,0.987494,0.917702
Model 1,0.2,N = 2500,".33, .33, .33",D,0.239474,19.737,9.48868,0.994418,0.887952
Model 1,0.2,N = 2500,".60, .30, .10",0.3,0.227239,13.6195,4.51915,1,0.859516
Model 1,0.2,N = 2500,".60, .30, .10",0.5,0.27010100000000004,35.0505,0.48437,1,0.43231
Model 1,0.2,N = 2500,".60, .30, .10",0.7,0.314509,57.2545,2.26513,0.995528,0.176774
Model 1,0.2,N = 2500,".60, .30, .10",0.9,0.34391499999999997,71.9575,2.12086,0.998598,0.180764
Model 1,0.2,N = 2500,".60, .30, .10",A,0.200711,0.3555,-2.43011,0.99859,0.9334020000000001
Model 1,0.2,N = 2500,".60, .30, .10",B,0.214252,7.126,3.3136,1,0.926504
Model 1,0.2,N = 2500,".60, .30, .10",C,0.22481,12.405,3.13825,1,0.871074
Model 1,0.2,N = 2500,".60, .30, .10",D,0.231666,15.833,0.04949000000000001,0.998842,0.824778
Model 1,0.2,N = 500,".10, .30, .60",0.3,0.289303,44.6515,22.44209,0.336549,0.830212
Model 1,0.2,N = 500,".10, .30, .60",0.5,0.41964,109.82,4.0622,0.566252,0.657706
Model 1,0.2,N = 500,".10, .30, .60",0.7,0.5581010000000001,179.0505,-12.50892,0.741675,0.41765
Model 1,0.2,N = 500,".10, .30, .60",0.9,0.663366,231.683,-3.79392,0.849941,0.304184
Model 1,0.2,N = 500,".10, .30, .60",A,0.228053,14.0265,4.71431,0.300674,0.80267
Model 1,0.2,N = 500,".10, .30, .60",B,0.230389,15.1945,9.45801,0.29984,0.82011
Model 1,0.2,N = 500,".10, .30, .60",C,0.221675,10.8375,1.96066,0.286398,0.791498
Model 1,0.2,N = 500,".10, .30, .60",D,0.240817,20.4085,-7.58378,0.366789,0.75344
Model 1,0.2,N = 500,".33, .33, .33",0.3,0.241858,20.929,12.27681,0.595657,0.90528
Model 1,0.2,N = 500,".33, .33, .33",0.5,0.310904,55.452,0.83144,0.706433,0.74775
Model 1,0.2,N = 500,".33, .33, .33",0.7,0.39174600000000004,95.873,0.05898,0.776794,0.580156
Model 1,0.2,N = 500,".33, .33, .33",0.9,0.45619000000000004,128.095,-0.48979,0.8268679999999999,0.421856
Model 1,0.2,N = 500,".33, .33, .33",A,0.200913,0.4565,0.72312,0.544676,0.905518
Model 1,0.2,N = 500,".33, .33, .33",B,0.218631,9.3155,13.02805,0.534518,0.9235140000000001
Model 1,0.2,N = 500,".33, .33, .33",C,0.22417900000000002,12.0895,10.1054,0.559679,0.891612
Model 1,0.2,N = 500,".33, .33, .33",D,0.24007499999999998,20.0375,13.17388,0.55489,0.894586
Model 1,0.2,N = 500,".60, .30, .10",0.3,0.23112000000000002,15.56,3.45035,0.844272,0.897334
Model 1,0.2,N = 500,".60, .30, .10",0.5,0.26418600000000003,32.093,7.49182,0.849569,0.815978
Model 1,0.2,N = 500,".60, .30, .10",0.7,0.307825,53.9125,-5.70876,0.846927,0.628064
Model 1,0.2,N = 500,".60, .30, .10",0.9,0.34615799999999997,73.079,3.07279,0.8286359999999999,0.5475260000000001
Model 1,0.2,N = 500,".60, .30, .10",A,0.19373600000000002,-3.132,-3.01398,0.801752,0.918184
Model 1,0.2,N = 500,".60, .30, .10",B,0.21329,6.645,10.25556,0.801924,0.933588
Model 1,0.2,N = 500,".60, .30, .10",C,0.224199,12.0995,4.12724,0.795092,0.915164
Model 1,0.2,N = 500,".60, .30, .10",D,0.224933,12.4665,2.5293200000000002,0.778545,0.9047580000000001
Model 1,0.2,N = 5000,".10, .30, .60",0.3,0.27831100000000003,39.1555,1.06435,0.977188,0.745846
Model 1,0.2,N = 5000,".10, .30, .60",0.5,0.41575999999999996,107.88,0.97905,1,0.18726
Model 1,0.2,N = 5000,".10, .30, .60",0.7,0.5651579999999999,182.579,3.12568,0.99716,0.031634
Model 1,0.2,N = 5000,".10, .30, .60",0.9,0.663834,231.917,8.62152,1,0.004334
Model 1,0.2,N = 5000,".10, .30, .60",A,0.181553,-9.2235,1.16068,0.843492,0.914512
Model 1,0.2,N = 5000,".10, .30, .60",B,0.19587500000000002,-2.0625,3.66436,0.923548,0.952904
Model 1,0.2,N = 5000,".10, .30, .60",C,0.19287200000000002,-3.564,4.98235,0.919312,0.942824
Model 1,0.2,N = 5000,".10, .30, .60",D,0.18904,-5.48,-0.08246999999999997,0.86222,0.925564
Model 1,0.2,N = 5000,".33, .33, .33",0.3,0.24157199999999998,20.786,2.42844,1,0.738706
Model 1,0.2,N = 5000,".33, .33, .33",0.5,0.3136,56.8,2.60116,1,0.130956
Model 1,0.2,N = 5000,".33, .33, .33",0.7,0.397561,98.7805,7.85514,1,0.002712
Model 1,0.2,N = 5000,".33, .33, .33",0.9,0.459768,129.884,6.77281,1,0
Model 1,0.2,N = 5000,".33, .33, .33",A,0.204544,2.272,9.46727,1,0.94658
Model 1,0.2,N = 5000,".33, .33, .33",B,0.217504,8.752,6.57378,1,0.926338
Model 1,0.2,N = 5000,".33, .33, .33",C,0.229215,14.6075,6.25627,1,0.858614
Model 1,0.2,N = 5000,".33, .33, .33",D,0.239561,19.7805,6.34018,1,0.7830360000000001
Model 1,0.2,N = 5000,".60, .30, .10",0.3,0.226852,13.426,9.59494,1,0.76007
Model 1,0.2,N = 5000,".60, .30, .10",0.5,0.26868800000000004,34.344,3.30322,1,0.151794
Model 1,0.2,N = 5000,".60, .30, .10",0.7,0.317075,58.5375,4.92403,1,0.01621
Model 1,0.2,N = 5000,".60, .30, .10",0.9,0.342298,71.149,0.9550599999999999,1,0.042424
Model 1,0.2,N = 5000,".60, .30, .10",A,0.20086900000000002,0.4345,7.331169999999999,1,0.965962
Model 1,0.2,N = 5000,".60, .30, .10",B,0.213724,6.862,0.38937000000000005,1,0.9094
Model 1,0.2,N = 5000,".60, .30, .10",C,0.222659,11.3295,6.1238399999999995,1,0.847646
Model 1,0.2,N = 5000,".60, .30, .10",D,0.23045000000000002,15.225,0.44681999999999994,1,0.75639
Model 1,0.8,N = 1000,".10, .30, .60",0.3,0.794332,-0.71033,17.19823,0.987382,0.948508
Model 1,0.8,N = 1000,".10, .30, .60",0.5,0.8210449999999999,2.62831,11.74315,0.985954,0.908636
Model 1,0.8,N = 1000,".10, .30, .60",0.7,0.8617319999999999,7.71401,15.35497,0.987792,0.813226
Model 1,0.8,N = 1000,".10, .30, .60",0.9,0.9032870000000001,12.908389999999999,10.16022,0.992842,0.645126
Model 1,0.8,N = 1000,".10, .30, .60",A,0.7381679999999999,-7.73152,16.2953,0.9692259999999999,0.910562
Model 1,0.8,N = 1000,".10, .30, .60",B,0.6796540000000001,-15.04296,14.97916,0.963776,0.876906
Model 1,0.8,N = 1000,".10, .30, .60",C,0.654836,-18.14711,13.97981,0.945052,0.842756
Model 1,0.8,N = 1000,".10, .30, .60",D,0.646607,-19.17645,15.02452,0.930404,0.826276
Model 1,0.8,N = 1000,".33, .33, .33",0.3,0.81039,1.29988,3.09264,1,0.93603
Model 1,0.8,N = 1000,".33, .33, .33",0.5,0.8216469999999999,2.70328,2.44566,0.99855,0.925656
Model 1,0.8,N = 1000,".33, .33, .33",0.7,0.837997,4.74724,4.80243,1,0.85693
Model 1,0.8,N = 1000,".33, .33, .33",0.9,0.854762,6.84286,8.13155,0.99891,0.800206
Model 1,0.8,N = 1000,".33, .33, .33",A,0.773352,-3.33362,3.78483,0.996096,0.9435939999999999
Model 1,0.8,N = 1000,".33, .33, .33",B,0.764769,-4.40636,10.1276,0.997326,0.935204
Model 1,0.8,N = 1000,".33, .33, .33",C,0.760182,-4.97974,14.15799,0.997386,0.936114
Model 1,0.8,N = 1000,".33, .33, .33",D,0.753229,-5.84897,11.29824,0.998248,0.926678
Model 1,0.8,N = 1000,".60, .30, .10",0.3,0.7995950000000001,-0.0511,1.37926,0.998514,0.965772
Model 1,0.8,N = 1000,".60, .30, .10",0.5,0.805416,0.67948,-2.82206,1,0.942958
Model 1,0.8,N = 1000,".60, .30, .10",0.7,0.8136519999999999,1.70518,-2.6058,0.998746,0.916616
Model 1,0.8,N = 1000,".60, .30, .10",0.9,0.81709,2.13381,1.47635,0.998802,0.906734
Model 1,0.8,N = 1000,".60, .30, .10",A,0.778483,-2.69201,-13.28511,0.996912,0.951614
Model 1,0.8,N = 1000,".60, .30, .10",B,0.7895220000000001,-1.31233,4.04502,0.998276,0.9546319999999999
Model 1,0.8,N = 1000,".60, .30, .10",C,0.785761,-1.78241,4.33013,0.99902,0.96278
Model 1,0.8,N = 1000,".60, .30, .10",D,0.788481,-1.44228,8.506,0.995178,0.9532579999999999
Model 1,0.8,N = 2500,".10, .30, .60",0.3,0.806544,0.82022,7.73639,1,0.94696
Model 1,0.8,N = 2500,".10, .30, .60",0.5,0.83577,4.46861,8.04035,1,0.912458
Model 1,0.8,N = 2500,".10, .30, .60",0.7,0.871731,8.96373,8.19864,1,0.762316
Model 1,0.8,N = 2500,".10, .30, .60",0.9,0.91218,14.01999,7.34538,1,0.560276
Model 1,0.8,N = 2500,".10, .30, .60",A,0.766374,-4.20583,6.49531,1,0.9337340000000001
Model 1,0.8,N = 2500,".10, .30, .60",B,0.696796,-12.903,4.97161,0.999444,0.747048
Model 1,0.8,N = 2500,".10, .30, .60",C,0.671095,-16.11306,6.59371,0.998306,0.642898
Model 1,0.8,N = 2500,".10, .30, .60",D,0.657714,-17.78666,9.35463,0.998824,0.60689
Model 1,0.8,N = 2500,".33, .33, .33",0.3,0.8073450000000001,0.92044,-0.23923999999999998,1,0.927694
Model 1,0.8,N = 2500,".33, .33, .33",0.5,0.8236859999999999,2.9582,1.8693499999999998,1,0.887178
Model 1,0.8,N = 2500,".33, .33, .33",0.7,0.838696,4.8345,0.96488,1,0.754
Model 1,0.8,N = 2500,".33, .33, .33",0.9,0.85104899999999994,6.37851,-1.13286,1,0.717086
Model 1,0.8,N = 2500,".33, .33, .33",A,0.780126,-2.4868099999999997,-0.30595,1,0.913682
Model 1,0.8,N = 2500,".33, .33, .33",B,0.76748,-4.0675799999999995,0.86744,1,0.853196
Model 1,0.8,N = 2500,".33, .33, .33",C,0.760675,-4.91819,-1.02906,1,0.8358019999999999
Model 1,0.8,N = 2500,".33, .33, .33",D,0.758012,-5.2511,4.68506,1,0.81996
Model 1,0.8,N = 2500,".60, .30, .10",0.3,0.8016690000000001,0.2109,-2.69501,1,0.95472
Model 1,0.8,N = 2500,".60, .30, .10",0.5,0.8085030000000001,1.06521,2.08073,1,0.9242600000000001
Model 1,0.8,N = 2500,".60, .30, .10",0.7,0.8151259999999999,1.88833,-16.39126,1,0.8515619999999999
Model 1,0.8,N = 2500,".60, .30, .10",0.9,0.8164499999999999,2.05371,-4.31639,1,0.87894
Model 1,0.8,N = 2500,".60, .30, .10",A,0.781551,-2.30863,-0.67755,1,0.888866
Model 1,0.8,N = 2500,".60, .30, .10",B,0.789157,-1.35775,-0.90525,1,0.9338380000000001
Model 1,0.8,N = 2500,".60, .30, .10",C,0.788586,-1.4292,2.37751,1,0.9446559999999999
Model 1,0.8,N = 2500,".60, .30, .10",D,0.787347,-1.58399,-2.74497,0.999112,0.93236
Model 1,0.8,N = 500,".10, .30, .60",0.3,0.7603300000000001,-4.9613,16.88231,0.91186,0.918608
Model 1,0.8,N = 500,".10, .30, .60",0.5,0.8020970000000001,0.26243,6.46015,0.933211,0.881416
Model 1,0.8,N = 500,".10, .30, .60",0.7,0.83334,4.16497,4.76571,0.94179,0.815158
Model 1,0.8,N = 500,".10, .30, .60",0.9,0.880251,10.028889999999999,11.46709,0.9530259999999999,0.6908299999999999
Model 1,0.8,N = 500,".10, .30, .60",A,0.694565,-13.18103,8.84014,0.849331,0.837112
Model 1,0.8,N = 500,".10, .30, .60",B,0.6545000000000001,-18.18878,15.13381,0.85269,0.854066
Model 1,0.8,N = 500,".10, .30, .60",C,0.639761,-20.032329999999998,18.53449,0.830187,0.842372
Model 1,0.8,N = 500,".10, .30, .60",D,0.626274,-21.71831,15.1601,0.812337,0.817452
Model 1,0.8,N = 500,".33, .33, .33",0.3,0.7979010000000001,-0.26327,6.77183,0.995946,0.942404
Model 1,0.8,N = 500,".33, .33, .33",0.5,0.8147409999999999,1.84128,12.76279,0.994038,0.9412659999999999
Model 1,0.8,N = 500,".33, .33, .33",0.7,0.835205,4.3980500000000005,9.94202,0.98633,0.89193
Model 1,0.8,N = 500,".33, .33, .33",0.9,0.8446469999999999,5.57833,8.81686,0.992314,0.83605
Model 1,0.8,N = 500,".33, .33, .33",A,0.758251,-5.22122,-4.28449,0.980474,0.941528
Model 1,0.8,N = 500,".33, .33, .33",B,0.75185,-6.02131,0.63556,0.985402,0.936538
Model 1,0.8,N = 500,".33, .33, .33",C,0.745879,-6.76762,0.68602,0.977806,0.93682
Model 1,0.8,N = 500,".33, .33, .33",D,0.740925,-7.38679,-0.59627,0.97602,0.942152
Model 1,0.8,N = 500,".60, .30, .10",0.3,0.793033,-0.87326,-10.23055,0.990672,0.94114
Model 1,0.8,N = 500,".60, .30, .10",0.5,0.8000200000000001,0.0025399999999999997,-4.5701600000000004,0.99234,0.947646
Model 1,0.8,N = 500,".60, .30, .10",0.7,0.8087460000000001,1.09498,-0.13678000000000004,0.993236,0.932338
Model 1,0.8,N = 500,".60, .30, .10",0.9,0.8174739999999999,2.1823,-12.47851,0.996154,0.884614
Model 1,0.8,N = 500,".60, .30, .10",A,0.756827,-5.3991,-23.50084,0.978779,0.92947
Model 1,0.8,N = 500,".60, .30, .10",B,0.778012,-2.75094,-9.60622,0.9878979999999999,0.95672
Model 1,0.8,N = 500,".60, .30, .10",C,0.773553,-3.30829,-13.80619,0.98369,0.95024
Model 1,0.8,N = 500,".60, .30, .10",D,0.766462,-4.19461,-18.7254,0.969024,0.937654
Model 1,0.8,N = 5000,".10, .30, .60",0.3,0.811642,1.4556,6.00223,1,0.959776
Model 1,0.8,N = 5000,".10, .30, .60",0.5,0.8380599999999999,4.75501,11.04396,1,0.904458
Model 1,0.8,N = 5000,".10, .30, .60",0.7,0.874695,9.33437,5.14007,1,0.631186
Model 1,0.8,N = 5000,".10, .30, .60",0.9,0.916567,14.56932,3.15279,0.999226,0.304102
Model 1,0.8,N = 5000,".10, .30, .60",A,0.771777,-3.53032,2.11175,1,0.924506
Model 1,0.8,N = 5000,".10, .30, .60",B,0.6940029999999999,-13.252130000000001,4.4416899999999995,1,0.5166040000000001
Model 1,0.8,N = 5000,".10, .30, .60",C,0.672189,-15.97637,3.41571,1,0.391834
Model 1,0.8,N = 5000,".10, .30, .60",D,0.6583100000000001,-17.71181,3.2637899999999997,1,0.337216
Model 1,0.8,N = 5000,".33, .33, .33",0.3,0.808203,1.02787,2.7414799999999997,1,0.93287
Model 1,0.8,N = 5000,".33, .33, .33",0.5,0.823608,2.94858,-2.10872,1,0.8279
Model 1,0.8,N = 5000,".33, .33, .33",0.7,0.841433,5.1766,2.79251,1,0.589572
Model 1,0.8,N = 5000,".33, .33, .33",0.9,0.849735,6.21453,3.9731899999999998,1,0.586942
Model 1,0.8,N = 5000,".33, .33, .33",A,0.780332,-2.46106,3.5566,1,0.885306
Model 1,0.8,N = 5000,".33, .33, .33",B,0.767081,-4.11748,-1.42018,1,0.756564
Model 1,0.8,N = 5000,".33, .33, .33",C,0.761594,-4.80329,-1.69774,1,0.6572520000000001
Model 1,0.8,N = 5000,".33, .33, .33",D,0.758296,-5.21539,2.7481500000000003,1,0.680328
Model 1,0.8,N = 5000,".60, .30, .10",0.3,0.802409,0.30354,7.98051,1,0.963634
Model 1,0.8,N = 5000,".60, .30, .10",0.5,0.8087200000000001,1.0925099999999999,1.86724,1,0.920786
Model 1,0.8,N = 5000,".60, .30, .10",0.7,0.8159789999999999,1.9947700000000002,-7.64548,1,0.816846
