"FileName","Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_m2_n_500_tp_3.179_m_3_l_0.5","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","0.5",498,84,16.9,20,4,2,0.4,102,20.5,396,"Yes",783
"rilta_lta_m2_n_500_tp_3.179_m_3_l_0.7","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","0.7",497,92,18.5,8,1.6,3,0.6,102,20.5,395,"Yes",781
"rilta_lta_m2_n_500_tp_3.179_m_3_l_0.9","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","0.9",497,119,23.9,5,1,1,0.2,125,25.2,372,"Yes",834
"rilta_lta_m2_n_500_tp_3.179_m_3_l_a","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","A",499,62,12.4,30,6,1,0.2,90,18,409,"Yes",758
"rilta_lta_m2_n_500_tp_3.179_m_3_l_b","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","B",500,66,13.2,14,2.8,2,0.4,81,16.2,419,"Yes",742
"rilta_lta_m2_n_500_tp_3.179_m_3_l_c","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","C",500,70,14,21,4.2,4,0.8,94,18.8,406,"Yes",768
"rilta_lta_m2_n_500_tp_3.179_m_3_l_d","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","D",497,65,13.1,15,3,0,0,80,16.1,417,"Yes",737
"rilta_lta_m3_n_500_tp_3.179_m_1_l_0.3","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","0.3",500,101,20.2,94,18.8,1,0.2,177,35.4,323,"Yes",988
"rilta_lta_m3_n_500_tp_3.179_m_1_l_0.5","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","0.5",500,97,19.4,85,17,1,0.2,158,31.6,342,"Yes",927
"rilta_lta_m3_n_500_tp_3.179_m_1_l_0.7","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","0.7",500,119,23.8,55,11,0,0,164,32.8,336,"Yes",945
"rilta_lta_m3_n_500_tp_3.179_m_1_l_0.9","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","0.9",499,159,31.9,42,8.4,1,0.2,184,36.9,315,"Yes",1013
"rilta_lta_m3_n_500_tp_3.179_m_1_l_a","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","A",499,113,22.6,83,16.6,0,0,178,35.7,321,"Yes",992
"rilta_lta_m3_n_500_tp_3.179_m_1_l_b","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","B",499,108,21.6,112,22.4,1,0.2,197,39.5,302,"Yes",1064
"rilta_lta_m3_n_500_tp_3.179_m_1_l_c","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","C",500,98,19.6,118,23.6,3,0.6,198,39.6,302,"Yes",1068
"rilta_lta_m3_n_500_tp_3.179_m_1_l_d","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","D",499,94,18.8,126,25.3,0,0,196,39.3,303,"Yes",1060
"rilta_lta_m3_n_500_tp_3.179_m_2_l_0.3","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","0.3",500,169,33.8,7,1.4,2,0.4,174,34.8,326,"Yes",978
"rilta_lta_m3_n_500_tp_3.179_m_2_l_0.5","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","0.5",498,153,30.7,15,3,0,0,165,33.1,333,"Yes",946
"rilta_lta_m3_n_500_tp_3.179_m_2_l_0.7","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","0.7",500,161,32.2,14,2.8,1,0.2,173,34.6,327,"Yes",975
"rilta_lta_m3_n_500_tp_3.179_m_2_l_0.9","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","0.9",500,174,34.8,15,3,0,0,183,36.6,317,"Yes",1010
"rilta_lta_m3_n_500_tp_3.179_m_2_l_a","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","A",500,161,32.2,14,2.8,0,0,167,33.4,333,"Yes",955
"rilta_lta_m3_n_500_tp_3.179_m_2_l_b","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","B",499,144,28.9,19,3.8,0,0,162,32.5,337,"Yes",939
"rilta_lta_m3_n_500_tp_3.179_m_2_l_c","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","C",500,169,33.8,28,5.6,0,0,189,37.8,311,"Yes",1032
"rilta_lta_m3_n_500_tp_3.179_m_2_l_d","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","D",498,147,29.5,53,10.6,2,0.4,186,37.3,312,"Yes",1019
"rilta_lta_m3_n_500_tp_3.179_m_3_l_0.3","Model 3","N = 500",500,".800",3.179,3,".60, .30, .10","0.3",500,107,21.4,18,3.6,2,0.4,118,23.6,382,"Yes",820
"rilta_lta_m3_n_500_tp_3.179_m_3_l_0.5","Model 3","N = 500",500,".800",3.179,3,".60, .30, .10","0.5",500,107,21.4,16,3.2,0,0,119,23.8,381,"Yes",822
"rilta_lta_m3_n_500_tp_3.179_m_3_l_0.7","Model 3","N = 500",500,".800",3.179,3,".60, .30, .10","0.7",500,121,24.2,20,4,1,0.2,133,26.6,367,"Yes",857
"rilta_lta_m3_n_500_tp_3.179_m_3_l_0.9","Model 3","N = 500",500,".800",3.179,3,".60, .30, .10","0.9",499,129,25.9,30,6,0,0,152,30.5,347,"Yes",908
"rilta_lta_m3_n_500_tp_3.179_m_3_l_a","Model 3","N = 500",500,".800",3.179,3,".60, .30, .10","A",500,104,20.8,15,3,2,0.4,119,23.8,381,"Yes",822
"rilta_lta_m3_n_500_tp_3.179_m_3_l_b","Model 3","N = 500",500,".800",3.179,3,".60, .30, .10","B",498,108,21.7,10,2,1,0.2,115,23.1,383,"Yes",811
"rilta_lta_m3_n_500_tp_3.179_m_3_l_c","Model 3","N = 500",500,".800",3.179,3,".60, .30, .10","C",497,94,18.9,25,5,0,0,113,22.7,384,"Yes",805
"rilta_lta_m3_n_500_tp_3.179_m_3_l_d","Model 3","N = 500",500,".800",3.179,3,".60, .30, .10","D",499,91,18.2,58,11.6,1,0.2,136,27.3,363,"Yes",864
"rilta_lta_m1_n_1000_tp_0.407_m_1_l_0.3","Model 1","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.3",500,232,46.4,47,9.4,1,0.2,251,50.2,249,"Yes",1344
"rilta_lta_m1_n_1000_tp_0.407_m_1_l_0.5","Model 1","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.5",500,247,49.4,40,8,2,0.4,266,53.2,234,"Yes",1452
"rilta_lta_m1_n_1000_tp_0.407_m_1_l_0.7","Model 1","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.7",500,265,53,56,11.2,2,0.4,295,59,205,"Yes",1722
"rilta_lta_m1_n_1000_tp_0.407_m_1_l_0.9","Model 1","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.9",500,281,56.2,88,17.6,1,0.2,315,63,185,"Yes",1979
"rilta_lta_m1_n_1000_tp_0.407_m_1_l_a","Model 1","N = 1000",1000,".200",0.407,1,".10, .30, .60","A",500,200,40,152,30.4,7,1.4,300,60,200,"Yes",1780
"rilta_lta_m1_n_1000_tp_0.407_m_1_l_b","Model 1","N = 1000",1000,".200",0.407,1,".10, .30, .60","B",500,235,47,63,12.6,2,0.4,272,54.4,228,"Yes",1501
"rilta_lta_m1_n_1000_tp_0.407_m_1_l_c","Model 1","N = 1000",1000,".200",0.407,1,".10, .30, .60","C",500,224,44.8,72,14.4,6,1.2,264,52.8,236,"Yes",1437
"rilta_lta_m1_n_1000_tp_0.407_m_1_l_d","Model 1","N = 1000",1000,".200",0.407,1,".10, .30, .60","D",500,229,45.8,81,16.2,4,0.8,264,52.8,236,"Yes",1437
"rilta_lta_m1_n_1000_tp_0.407_m_2_l_0.3","Model 1","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.3",500,246,49.2,21,4.2,4,0.8,259,51.8,241,"Yes",1400
"rilta_lta_m1_n_1000_tp_0.407_m_2_l_0.5","Model 1","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.5",500,260,52,16,3.2,1,0.2,271,54.2,229,"Yes",1492
"rilta_lta_m1_n_1000_tp_0.407_m_2_l_0.7","Model 1","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.7",500,294,58.8,18,3.6,2,0.4,301,60.2,199,"Yes",1792
"rilta_lta_m1_n_1000_tp_0.407_m_2_l_0.9","Model 1","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.9",497,274,55.1,28,5.6,1,0.2,288,57.9,209,"Yes",1654
"rilta_lta_m1_n_1000_tp_0.407_m_2_l_a","Model 1","N = 1000",1000,".200",0.407,2,".33, .33, .33","A",500,235,47,111,22.2,12,2.4,295,59,205,"Yes",1722
"rilta_lta_m1_n_1000_tp_0.407_m_2_l_b","Model 1","N = 1000",1000,".200",0.407,2,".33, .33, .33","B",500,256,51.2,43,8.6,1,0.2,278,55.6,222,"Yes",1553
"rilta_lta_m1_n_1000_tp_0.407_m_2_l_c","Model 1","N = 1000",1000,".200",0.407,2,".33, .33, .33","C",500,268,53.6,44,8.8,1,0.2,292,58.4,208,"Yes",1689
"rilta_lta_m1_n_1000_tp_0.407_m_2_l_d","Model 1","N = 1000",1000,".200",0.407,2,".33, .33, .33","D",500,288,57.6,49,9.8,4,0.8,312,62.4,188,"Yes",1935
"rilta_lta_m1_n_1000_tp_0.407_m_3_l_0.3","Model 1","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.3",499,225,45.1,63,12.6,1,0.2,255,51.1,244,"Yes",1372
"rilta_lta_m1_n_1000_tp_0.407_m_3_l_0.5","Model 1","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.5",498,219,44,56,11.2,1,0.2,248,49.8,250,"Yes",1326
"rilta_lta_m1_n_1000_tp_0.407_m_3_l_0.7","Model 1","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.7",494,257,52,61,12.3,1,0.2,285,57.7,209,"Yes",1634
"rilta_lta_m1_n_1000_tp_0.407_m_3_l_0.9","Model 1","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.9",493,242,49.1,82,16.6,0,0,283,57.4,210,"Yes",1616
"rilta_lta_m1_n_1000_tp_0.407_m_3_l_a","Model 1","N = 1000",1000,".200",0.407,3,".60, .30, .10","A",499,249,49.9,207,41.5,14,2.8,356,71.3,143,"Yes",2875
"rilta_lta_m1_n_1000_tp_0.407_m_3_l_b","Model 1","N = 1000",1000,".200",0.407,3,".60, .30, .10","B",499,225,45.1,77,15.4,1,0.2,268,53.7,231,"Yes",1469
"rilta_lta_m1_n_1000_tp_0.407_m_3_l_c","Model 1","N = 1000",1000,".200",0.407,3,".60, .30, .10","C",499,215,43.1,82,16.4,1,0.2,261,52.3,238,"Yes",1415
"rilta_lta_m1_n_1000_tp_0.407_m_3_l_d","Model 1","N = 1000",1000,".200",0.407,3,".60, .30, .10","D",499,230,46.1,83,16.6,6,1.2,277,55.5,222,"Yes",1545
"rilta_lta_m2_n_1000_tp_0.407_m_1_l_0.3","Model 2","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.3",500,26,5.2,3,0.6,2,0.4,31,6.2,469,"Yes",659
"rilta_lta_m2_n_1000_tp_0.407_m_1_l_0.5","Model 2","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.5",498,23,4.6,3,0.6,4,0.8,30,6,468,"Yes",655
"rilta_lta_m2_n_1000_tp_0.407_m_1_l_0.7","Model 2","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.7",499,27,5.4,2,0.4,4,0.8,32,6.4,467,"Yes",660
"rilta_lta_m2_n_1000_tp_0.407_m_1_l_0.9","Model 2","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.9",497,53,10.7,6,1.2,1,0.2,60,12.1,437,"Yes",702
"rilta_lta_m2_n_1000_tp_0.407_m_1_l_a","Model 2","N = 1000",1000,".200",0.407,1,".10, .30, .60","A",498,26,5.2,5,1,5,1,36,7.2,462,"Yes",664
"rilta_lta_m2_n_1000_tp_0.407_m_1_l_b","Model 2","N = 1000",1000,".200",0.407,1,".10, .30, .60","B",499,25,5,6,1.2,1,0.2,32,6.4,467,"Yes",660
"rilta_lta_m2_n_1000_tp_0.407_m_1_l_c","Model 2","N = 1000",1000,".200",0.407,1,".10, .30, .60","C",500,28,5.6,3,0.6,1,0.2,32,6.4,468,"Yes",661
"rilta_lta_m2_n_1000_tp_0.407_m_1_l_d","Model 2","N = 1000",1000,".200",0.407,1,".10, .30, .60","D",499,35,7,0,0,1,0.2,36,7.2,463,"Yes",666
"rilta_lta_m2_n_1000_tp_0.407_m_2_l_0.3","Model 2","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.3",497,47,9.5,2,0.4,5,1,54,10.9,443,"Yes",692
"rilta_lta_m2_n_1000_tp_0.407_m_2_l_0.5","Model 2","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.5",498,52,10.4,2,0.4,5,1,59,11.8,439,"Yes",701
"rilta_lta_m2_n_1000_tp_0.407_m_2_l_0.7","Model 2","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.7",498,70,14.1,2,0.4,1,0.2,73,14.7,425,"Yes",726
"rilta_lta_m2_n_1000_tp_0.407_m_2_l_0.9","Model 2","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.9",498,80,16.1,1,0.2,4,0.8,84,16.9,414,"Yes",746
"rilta_lta_m2_n_1000_tp_0.407_m_2_l_a","Model 2","N = 1000",1000,".200",0.407,2,".33, .33, .33","A",500,42,8.4,1,0.2,1,0.2,44,8.8,456,"Yes",679
"rilta_lta_m2_n_1000_tp_0.407_m_2_l_b","Model 2","N = 1000",1000,".200",0.407,2,".33, .33, .33","B",498,52,10.4,1,0.2,3,0.6,56,11.2,442,"Yes",696
"rilta_lta_m2_n_1000_tp_0.407_m_2_l_c","Model 2","N = 1000",1000,".200",0.407,2,".33, .33, .33","C",498,59,11.8,4,0.8,1,0.2,64,12.9,434,"Yes",710
"rilta_lta_m2_n_1000_tp_0.407_m_2_l_d","Model 2","N = 1000",1000,".200",0.407,2,".33, .33, .33","D",499,57,11.4,2,0.4,1,0.2,60,12,439,"Yes",704
"rilta_lta_m2_n_1000_tp_0.407_m_3_l_0.3","Model 2","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.3",497,63,12.7,2,0.4,2,0.4,67,13.5,430,"Yes",714
"rilta_lta_m2_n_1000_tp_0.407_m_3_l_0.5","Model 2","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.5",498,55,11,0,0,1,0.2,56,11.2,442,"Yes",696
"rilta_lta_m2_n_1000_tp_0.407_m_3_l_0.7","Model 2","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.7",498,69,13.9,0,0,1,0.2,70,14.1,428,"Yes",720
"rilta_lta_m2_n_1000_tp_0.407_m_3_l_0.9","Model 2","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.9",498,67,13.5,1,0.2,1,0.2,69,13.9,429,"Yes",719
"rilta_lta_m2_n_1000_tp_0.407_m_3_l_a","Model 2","N = 1000",1000,".200",0.407,3,".60, .30, .10","A",495,53,10.7,3,0.6,0,0,56,11.3,439,"Yes",693
"rilta_lta_m2_n_1000_tp_0.407_m_3_l_b","Model 2","N = 1000",1000,".200",0.407,3,".60, .30, .10","B",497,73,14.7,1,0.2,1,0.2,75,15.1,422,"Yes",728
"rilta_lta_m2_n_1000_tp_0.407_m_3_l_c","Model 2","N = 1000",1000,".200",0.407,3,".60, .30, .10","C",498,62,12.4,3,0.6,3,0.6,68,13.7,430,"Yes",717
"rilta_lta_m2_n_1000_tp_0.407_m_3_l_d","Model 2","N = 1000",1000,".200",0.407,3,".60, .30, .10","D",498,58,11.6,3,0.6,1,0.2,60,12,438,"Yes",702
"rilta_lta_m3_n_1000_tp_0.407_m_1_l_0.3","Model 3","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.3",499,103,20.6,4,0.8,0,0,107,21.4,392,"Yes",794
"rilta_lta_m3_n_1000_tp_0.407_m_1_l_0.5","Model 3","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.5",500,104,20.8,3,0.6,1,0.2,108,21.6,392,"Yes",797
"rilta_lta_m3_n_1000_tp_0.407_m_1_l_0.7","Model 3","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.7",499,107,21.4,2,0.4,1,0.2,109,21.8,390,"Yes",798
"rilta_lta_m3_n_1000_tp_0.407_m_1_l_0.9","Model 3","N = 1000",1000,".200",0.407,1,".10, .30, .60","0.9",500,186,37.2,1,0.2,0,0,186,37.2,314,"Yes",1021
"rilta_lta_m3_n_1000_tp_0.407_m_1_l_a","Model 3","N = 1000",1000,".200",0.407,1,".10, .30, .60","A",500,120,24,16,3.2,1,0.2,128,25.6,372,"Yes",844
"rilta_lta_m3_n_1000_tp_0.407_m_1_l_b","Model 3","N = 1000",1000,".200",0.407,1,".10, .30, .60","B",499,105,21,2,0.4,0,0,107,21.4,392,"Yes",794
"rilta_lta_m3_n_1000_tp_0.407_m_1_l_c","Model 3","N = 1000",1000,".200",0.407,1,".10, .30, .60","C",500,114,22.8,9,1.8,0,0,120,24,380,"Yes",825
"rilta_lta_m3_n_1000_tp_0.407_m_1_l_d","Model 3","N = 1000",1000,".200",0.407,1,".10, .30, .60","D",499,89,17.8,11,2.2,0,0,97,19.4,402,"Yes",772
"rilta_lta_m3_n_1000_tp_0.407_m_2_l_0.3","Model 3","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.3",500,136,27.2,0,0,0,0,136,27.2,364,"Yes",865
"rilta_lta_m3_n_1000_tp_0.407_m_2_l_0.5","Model 3","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.5",500,161,32.2,0,0,0,0,161,32.2,339,"Yes",936
"rilta_lta_m3_n_1000_tp_0.407_m_2_l_0.7","Model 3","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.7",500,124,24.8,0,0,0,0,124,24.8,376,"Yes",834
"rilta_lta_m3_n_1000_tp_0.407_m_2_l_0.9","Model 3","N = 1000",1000,".200",0.407,2,".33, .33, .33","0.9",500,154,30.8,0,0,0,0,154,30.8,346,"Yes",915
"rilta_lta_m3_n_1000_tp_0.407_m_2_l_a","Model 3","N = 1000",1000,".200",0.407,2,".33, .33, .33","A",500,150,30,0,0,1,0.2,151,30.2,349,"Yes",906
"rilta_lta_m3_n_1000_tp_0.407_m_2_l_b","Model 3","N = 1000",1000,".200",0.407,2,".33, .33, .33","B",500,128,25.6,1,0.2,1,0.2,129,25.8,371,"Yes",847
"rilta_lta_m3_n_1000_tp_0.407_m_2_l_c","Model 3","N = 1000",1000,".200",0.407,2,".33, .33, .33","C",500,118,23.6,0,0,1,0.2,119,23.8,381,"Yes",822
"rilta_lta_m3_n_1000_tp_0.407_m_2_l_d","Model 3","N = 1000",1000,".200",0.407,2,".33, .33, .33","D",500,118,23.6,13,2.6,4,0.8,129,25.8,371,"Yes",847
"rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.3","Model 3","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.3",498,120,24.1,0,0,0,0,120,24.1,378,"Yes",823
"rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5","Model 3","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.5",499,122,24.4,1,0.2,0,0,123,24.6,376,"Yes",830
"rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.7","Model 3","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.7",500,140,28,4,0.8,0,0,144,28.8,356,"Yes",886
"rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.9","Model 3","N = 1000",1000,".200",0.407,3,".60, .30, .10","0.9",500,143,28.6,0,0,0,0,143,28.6,357,"Yes",883
"rilta_lta_m3_n_1000_tp_0.407_m_3_l_a","Model 3","N = 1000",1000,".200",0.407,3,".60, .30, .10","A",498,114,22.9,1,0.2,0,0,115,23.1,383,"Yes",811
"rilta_lta_m3_n_1000_tp_0.407_m_3_l_b","Model 3","N = 1000",1000,".200",0.407,3,".60, .30, .10","B",500,117,23.4,0,0,0,0,117,23.4,383,"Yes",818
"rilta_lta_m3_n_1000_tp_0.407_m_3_l_c","Model 3","N = 1000",1000,".200",0.407,3,".60, .30, .10","C",499,117,23.4,1,0.2,1,0.2,118,23.6,381,"Yes",818
"rilta_lta_m3_n_1000_tp_0.407_m_3_l_d","Model 3","N = 1000",1000,".200",0.407,3,".60, .30, .10","D",499,103,20.6,2,0.4,2,0.4,107,21.4,392,"Yes",794
"rilta_lta_m1_n_1000_tp_3.179_m_1_l_0.3","Model 1","N = 1000",1000,".800",3.179,1,".10, .30, .60","0.3",499,232,46.5,104,20.8,8,1.6,295,59.1,204,"Yes",1724
"rilta_lta_m1_n_1000_tp_3.179_m_1_l_0.5","Model 1","N = 1000",1000,".800",3.179,1,".10, .30, .60","0.5",500,269,53.8,109,21.8,1,0.2,311,62.2,189,"Yes",1921
"rilta_lta_m1_n_1000_tp_3.179_m_1_l_0.7","Model 1","N = 1000",1000,".800",3.179,1,".10, .30, .60","0.7",500,287,57.4,136,27.2,2,0.4,353,70.6,147,"Yes",2773
"rilta_lta_m1_n_1000_tp_3.179_m_1_l_0.9","Model 1","N = 1000",1000,".800",3.179,1,".10, .30, .60","0.9",500,318,63.6,182,36.4,1,0.2,389,77.8,111,"Yes",4520
"rilta_lta_m1_n_1000_tp_3.179_m_1_l_a","Model 1","N = 1000",1000,".800",3.179,1,".10, .30, .60","A",499,211,42.3,162,32.5,9,1.8,315,63.1,184,"Yes",1982
"rilta_lta_m1_n_1000_tp_3.179_m_1_l_b","Model 1","N = 1000",1000,".800",3.179,1,".10, .30, .60","B",500,244,48.8,84,16.8,4,0.8,292,58.4,208,"Yes",1689
"rilta_lta_m1_n_1000_tp_3.179_m_1_l_c","Model 1","N = 1000",1000,".800",3.179,1,".10, .30, .60","C",500,232,46.4,86,17.2,5,1,284,56.8,216,"Yes",1608
"rilta_lta_m1_n_1000_tp_3.179_m_1_l_d","Model 1","N = 1000",1000,".800",3.179,1,".10, .30, .60","D",500,225,45,100,20,8,1.6,277,55.4,223,"Yes",1544
"rilta_lta_m1_n_1000_tp_3.179_m_2_l_0.3","Model 1","N = 1000",1000,".800",3.179,2,".33, .33, .33","0.3",500,307,61.4,40,8,1,0.2,322,64.4,178,"Yes",2088
"rilta_lta_m1_n_1000_tp_3.179_m_2_l_0.5","Model 1","N = 1000",1000,".800",3.179,2,".33, .33, .33","0.5",500,278,55.6,42,8.4,2,0.4,298,59.6,202,"Yes",1756
"rilta_lta_m1_n_1000_tp_3.179_m_2_l_0.7","Model 1","N = 1000",1000,".800",3.179,2,".33, .33, .33","0.7",500,305,61,66,13.2,1,0.2,331,66.2,169,"Yes",2248
