"FileName","Model","Population","TPs","N","N_numeric","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed"
"rilta_lta_m2_n_5000_tp_0.407_m_1_l_0.5","Model 2",".200",0.407,"N = 5000",5000,1,".10, .30, .60","0.5",660,37,5.6,0,0,0,0,37,5.6,623,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_1_l_0.7","Model 2",".200",0.407,"N = 5000",5000,1,".10, .30, .60","0.7",645,27,4.2,0,0,0,0,27,4.2,618,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_1_l_0.9","Model 2",".200",0.407,"N = 5000",5000,1,".10, .30, .60","0.9",662,40,6,0,0,2,0.3,42,6.3,620,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_1_l_a","Model 2",".200",0.407,"N = 5000",5000,1,".10, .30, .60","A",661,44,6.7,0,0,0,0,44,6.7,617,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_1_l_b","Model 2",".200",0.407,"N = 5000",5000,1,".10, .30, .60","B",662,40,6,0,0,0,0,40,6,622,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_1_l_c","Model 2",".200",0.407,"N = 5000",5000,1,".10, .30, .60","C",661,41,6.2,0,0,0,0,41,6.2,620,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_1_l_d","Model 2",".200",0.407,"N = 5000",5000,1,".10, .30, .60","D",662,53,8,0,0,0,0,53,8,609,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_2_l_0.3","Model 2",".200",0.407,"N = 5000",5000,2,".33, .33, .33","0.3",688,72,10.5,0,0,0,0,72,10.5,616,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_2_l_0.5","Model 2",".200",0.407,"N = 5000",5000,2,".33, .33, .33","0.5",710,86,12.1,0,0,0,0,86,12.1,624,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_2_l_0.7","Model 2",".200",0.407,"N = 5000",5000,2,".33, .33, .33","0.7",722,95,13.2,0,0,0,0,95,13.2,627,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_2_l_0.9","Model 2",".200",0.407,"N = 5000",5000,2,".33, .33, .33","0.9",748,113,15.1,0,0,1,0.1,114,15.2,634,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_2_l_a","Model 2",".200",0.407,"N = 5000",5000,2,".33, .33, .33","A",748,76,10.2,0,0,0,0,76,10.2,672,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_2_l_b","Model 2",".200",0.407,"N = 5000",5000,2,".33, .33, .33","B",748,65,8.7,0,0,0,0,65,8.7,683,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_2_l_c","Model 2",".200",0.407,"N = 5000",5000,2,".33, .33, .33","C",748,69,9.2,0,0,0,0,69,9.2,679,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_2_l_d","Model 2",".200",0.407,"N = 5000",5000,2,".33, .33, .33","D",747,68,9.1,0,0,0,0,68,9.1,679,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_3_l_0.3","Model 2",".200",0.407,"N = 5000",5000,3,".60, .30, .10","0.3",701,80,11.4,0,0,0,0,80,11.4,621,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_3_l_0.5","Model 2",".200",0.407,"N = 5000",5000,3,".60, .30, .10","0.5",692,66,9.5,0,0,0,0,66,9.5,626,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_3_l_0.7","Model 2",".200",0.407,"N = 5000",5000,3,".60, .30, .10","0.7",677,56,8.3,0,0,0,0,56,8.3,621,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_3_l_0.9","Model 2",".200",0.407,"N = 5000",5000,3,".60, .30, .10","0.9",684,65,9.5,0,0,1,0.1,66,9.6,618,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_3_l_a","Model 2",".200",0.407,"N = 5000",5000,3,".60, .30, .10","A",683,57,8.3,1,0.1,0,0,58,8.5,625,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_3_l_b","Model 2",".200",0.407,"N = 5000",5000,3,".60, .30, .10","B",684,91,13.3,0,0,0,0,91,13.3,593,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_3_l_c","Model 2",".200",0.407,"N = 5000",5000,3,".60, .30, .10","C",684,70,10.2,0,0,0,0,70,10.2,614,"No"
"rilta_lta_m2_n_5000_tp_0.407_m_3_l_d","Model 2",".200",0.407,"N = 5000",5000,3,".60, .30, .10","D",684,68,9.9,0,0,0,0,68,9.9,616,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_1_l_0.3","Model 3",".200",0.407,"N = 5000",5000,1,".10, .30, .60","0.3",770,136,17.7,0,0,0,0,136,17.7,634,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_1_l_0.5","Model 3",".200",0.407,"N = 5000",5000,1,".10, .30, .60","0.5",728,119,16.3,0,0,0,0,119,16.3,609,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_1_l_0.7","Model 3",".200",0.407,"N = 5000",5000,1,".10, .30, .60","0.7",839,207,24.7,0,0,1,0.1,208,24.8,631,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_1_l_0.9","Model 3",".200",0.407,"N = 5000",5000,1,".10, .30, .60","0.9",995,356,35.8,0,0,2,0.2,356,35.8,639,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_1_l_a","Model 3",".200",0.407,"N = 5000",5000,1,".10, .30, .60","A",995,176,17.7,0,0,0,0,176,17.7,819,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_1_l_b","Model 3",".200",0.407,"N = 5000",5000,1,".10, .30, .60","B",995,222,22.3,0,0,0,0,222,22.3,773,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_1_l_c","Model 3",".200",0.407,"N = 5000",5000,1,".10, .30, .60","C",995,250,25.1,0,0,0,0,250,25.1,745,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_1_l_d","Model 3",".200",0.407,"N = 5000",5000,1,".10, .30, .60","D",995,219,22,0,0,0,0,219,22,776,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_2_l_0.3","Model 3",".200",0.407,"N = 5000",5000,2,".33, .33, .33","0.3",837,209,25,0,0,0,0,209,25,628,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_2_l_0.5","Model 3",".200",0.407,"N = 5000",5000,2,".33, .33, .33","0.5",867,251,29,0,0,0,0,251,29,616,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_2_l_0.7","Model 3",".200",0.407,"N = 5000",5000,2,".33, .33, .33","0.7",886,268,30.2,0,0,0,0,268,30.2,618,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_2_l_0.9","Model 3",".200",0.407,"N = 5000",5000,2,".33, .33, .33","0.9",1060,410,38.7,0,0,1,0.1,411,38.8,649,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_2_l_a","Model 3",".200",0.407,"N = 5000",5000,2,".33, .33, .33","A",1060,282,26.6,0,0,0,0,282,26.6,778,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_2_l_b","Model 3",".200",0.407,"N = 5000",5000,2,".33, .33, .33","B",1060,276,26,0,0,0,0,276,26,784,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_2_l_c","Model 3",".200",0.407,"N = 5000",5000,2,".33, .33, .33","C",1060,283,26.7,0,0,1,0.1,283,26.7,777,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_2_l_d","Model 3",".200",0.407,"N = 5000",5000,2,".33, .33, .33","D",1060,253,23.9,0,0,1,0.1,254,24,806,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_3_l_0.3","Model 3",".200",0.407,"N = 5000",5000,3,".60, .30, .10","0.3",857,212,24.7,0,0,0,0,212,24.7,645,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_3_l_0.5","Model 3",".200",0.407,"N = 5000",5000,3,".60, .30, .10","0.5",889,247,27.8,0,0,0,0,247,27.8,642,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_3_l_0.7","Model 3",".200",0.407,"N = 5000",5000,3,".60, .30, .10","0.7",857,231,27,0,0,0,0,231,27,626,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_3_l_0.9","Model 3",".200",0.407,"N = 5000",5000,3,".60, .30, .10","0.9",886,254,28.7,0,0,0,0,254,28.7,632,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_3_l_a","Model 3",".200",0.407,"N = 5000",5000,3,".60, .30, .10","A",886,211,23.8,0,0,0,0,211,23.8,675,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_3_l_b","Model 3",".200",0.407,"N = 5000",5000,3,".60, .30, .10","B",886,197,22.2,0,0,0,0,197,22.2,689,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_3_l_c","Model 3",".200",0.407,"N = 5000",5000,3,".60, .30, .10","C",886,200,22.6,0,0,1,0.1,201,22.7,685,"No"
"rilta_lta_m3_n_5000_tp_0.407_m_3_l_d","Model 3",".200",0.407,"N = 5000",5000,3,".60, .30, .10","D",886,185,20.9,0,0,0,0,185,20.9,701,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_1_l_0.3","Model 1",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.3",1312,658,50.2,23,1.8,1,0.1,671,51.1,641,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_1_l_0.5","Model 1",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.5",1244,599,48.2,39,3.1,0,0,620,49.8,624,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_1_l_0.7","Model 1",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.7",1513,776,51.3,121,8,1,0.1,825,54.5,688,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_1_l_0.9","Model 1",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.9",5022,3676,73.2,0,0,0,0,3676,73.2,1346,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_1_l_a","Model 1",".800",3.179,"N = 5000",5000,1,".10, .30, .60","A",5144,1790,34.8,856,16.6,215,4.2,2494,48.5,2650,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_1_l_b","Model 1",".800",3.179,"N = 5000",5000,1,".10, .30, .60","B",5147,2841,55.2,23,0.4,0,0,2853,55.4,2294,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_1_l_c","Model 1",".800",3.179,"N = 5000",5000,1,".10, .30, .60","C",5147,2726,53,24,0.5,0,0,2744,53.3,2403,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_1_l_d","Model 1",".800",3.179,"N = 5000",5000,1,".10, .30, .60","D",5147,2780,54,23,0.4,0,0,2789,54.2,2358,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_2_l_0.3","Model 1",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.3",2055,1266,61.6,0,0,0,0,1266,61.6,789,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_2_l_0.5","Model 1",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.5",1867,1129,60.5,0,0,0,0,1129,60.5,738,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_2_l_0.7","Model 1",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.7",1429,787,55.1,5,0.3,2,0.1,789,55.2,640,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_2_l_0.9","Model 1",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.9",2452,1597,65.1,220,9,6,0.2,1675,68.3,777,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_2_l_a","Model 1",".800",3.179,"N = 5000",5000,2,".33, .33, .33","A",2459,1184,48.1,412,16.8,111,4.5,1482,60.3,977,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_2_l_b","Model 1",".800",3.179,"N = 5000",5000,2,".33, .33, .33","B",2459,1479,60.1,0,0,0,0,1479,60.1,980,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_2_l_c","Model 1",".800",3.179,"N = 5000",5000,2,".33, .33, .33","C",1846,1142,61.9,0,0,0,0,1142,61.9,704,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_2_l_d","Model 1",".800",3.179,"N = 5000",5000,2,".33, .33, .33","D",2459,1465,59.6,0,0,0,0,1465,59.6,994,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_3_l_0.3","Model 1",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.3",1281,626,48.9,2,0.2,0,0,627,48.9,654,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_3_l_0.5","Model 1",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.5",1325,692,52.2,6,0.5,0,0,694,52.4,631,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_3_l_0.7","Model 1",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.7",1452,767,52.8,36,2.5,2,0.1,782,53.9,670,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_3_l_0.9","Model 1",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.9",2104,1346,64,266,12.6,4,0.2,1426,67.8,678,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_3_l_a","Model 1",".800",3.179,"N = 5000",5000,3,".60, .30, .10","A",2124,1200,56.5,794,37.4,42,2,1556,73.3,568,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_3_l_b","Model 1",".800",3.179,"N = 5000",5000,3,".60, .30, .10","B",2127,1003,47.2,6,0.3,1,0,1007,47.3,1120,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_3_l_c","Model 1",".800",3.179,"N = 5000",5000,3,".60, .30, .10","C",2127,901,42.4,9,0.4,0,0,907,42.6,1220,"No"
"rilta_lta_m1_n_5000_tp_3.179_m_3_l_d","Model 1",".800",3.179,"N = 5000",5000,3,".60, .30, .10","D",2126,960,45.2,8,0.4,0,0,962,45.2,1164,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_1_l_0.3","Model 2",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.3",684,64,9.4,0,0,0,0,64,9.4,620,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_1_l_0.5","Model 2",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.5",691,66,9.6,0,0,0,0,66,9.6,625,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_1_l_0.7","Model 2",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.7",713,100,14,0,0,0,0,100,14,613,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_1_l_0.9","Model 2",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.9",705,87,12.3,0,0,0,0,87,12.3,618,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_1_l_a","Model 2",".800",3.179,"N = 5000",5000,1,".10, .30, .60","A",705,55,7.8,0,0,0,0,55,7.8,650,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_1_l_b","Model 2",".800",3.179,"N = 5000",5000,1,".10, .30, .60","B",705,60,8.5,0,0,0,0,60,8.5,645,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_1_l_c","Model 2",".800",3.179,"N = 5000",5000,1,".10, .30, .60","C",705,49,7,0,0,0,0,49,7,656,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_1_l_d","Model 2",".800",3.179,"N = 5000",5000,1,".10, .30, .60","D",705,53,7.5,0,0,0,0,53,7.5,652,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_2_l_0.3","Model 2",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.3",780,161,20.6,0,0,0,0,161,20.6,619,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_2_l_0.5","Model 2",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.5",793,158,19.9,0,0,0,0,158,19.9,635,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_2_l_0.7","Model 2",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.7",797,175,22,0,0,0,0,175,22,622,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_2_l_0.9","Model 2",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.9",854,254,29.7,0,0,0,0,254,29.7,600,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_2_l_a","Model 2",".800",3.179,"N = 5000",5000,2,".33, .33, .33","A",854,162,19,0,0,0,0,162,19,692,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_2_l_b","Model 2",".800",3.179,"N = 5000",5000,2,".33, .33, .33","B",854,190,22.2,0,0,0,0,190,22.2,664,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_2_l_c","Model 2",".800",3.179,"N = 5000",5000,2,".33, .33, .33","C",854,201,23.5,0,0,0,0,201,23.5,653,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_2_l_d","Model 2",".800",3.179,"N = 5000",5000,2,".33, .33, .33","D",854,234,27.4,0,0,0,0,234,27.4,620,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.3","Model 2",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.3",700,88,12.6,0,0,0,0,88,12.6,612,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.5","Model 2",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.5",716,105,14.7,0,0,0,0,105,14.7,611,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.7","Model 2",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.7",780,147,18.8,0,0,0,0,147,18.8,633,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9","Model 2",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.9",772,157,20.3,0,0,0,0,157,20.3,615,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_3_l_a","Model 2",".800",3.179,"N = 5000",5000,3,".60, .30, .10","A",771,113,14.7,0,0,0,0,113,14.7,658,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_3_l_b","Model 2",".800",3.179,"N = 5000",5000,3,".60, .30, .10","B",772,117,15.2,0,0,0,0,117,15.2,655,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_3_l_c","Model 2",".800",3.179,"N = 5000",5000,3,".60, .30, .10","C",770,122,15.8,0,0,0,0,122,15.8,648,"No"
"rilta_lta_m2_n_5000_tp_3.179_m_3_l_d","Model 2",".800",3.179,"N = 5000",5000,3,".60, .30, .10","D",772,78,10.1,0,0,0,0,78,10.1,694,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_1_l_0.3","Model 3",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.3",851,218,25.6,2,0.2,0,0,220,25.9,631,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_1_l_0.5","Model 3",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.5",859,221,25.7,3,0.3,0,0,223,26,636,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_1_l_0.7","Model 3",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.7",800,169,21.1,0,0,0,0,169,21.1,631,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_1_l_0.9","Model 3",".800",3.179,"N = 5000",5000,1,".10, .30, .60","0.9",942,309,32.8,0,0,0,0,309,32.8,633,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_1_l_a","Model 3",".800",3.179,"N = 5000",5000,1,".10, .30, .60","A",942,225,23.9,4,0.4,0,0,227,24.1,715,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_1_l_b","Model 3",".800",3.179,"N = 5000",5000,1,".10, .30, .60","B",941,212,22.5,21,2.2,0,0,227,24.1,714,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_1_l_c","Model 3",".800",3.179,"N = 5000",5000,1,".10, .30, .60","C",942,182,19.3,37,3.9,0,0,215,22.8,727,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_1_l_d","Model 3",".800",3.179,"N = 5000",5000,1,".10, .30, .60","D",942,202,21.4,69,7.3,0,0,256,27.2,686,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_2_l_0.3","Model 3",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.3",948,335,35.3,0,0,0,0,335,35.3,613,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_2_l_0.5","Model 3",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.5",1055,386,36.6,0,0,0,0,386,36.6,669,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_2_l_0.7","Model 3",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.7",1021,393,38.5,0,0,1,0.1,394,38.6,627,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_2_l_0.9","Model 3",".800",3.179,"N = 5000",5000,2,".33, .33, .33","0.9",1119,490,43.8,0,0,0,0,490,43.8,629,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_2_l_a","Model 3",".800",3.179,"N = 5000",5000,2,".33, .33, .33","A",1119,393,35.1,0,0,0,0,393,35.1,726,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_2_l_b","Model 3",".800",3.179,"N = 5000",5000,2,".33, .33, .33","B",1119,287,25.6,0,0,0,0,287,25.6,832,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_2_l_c","Model 3",".800",3.179,"N = 5000",5000,2,".33, .33, .33","C",1118,266,23.8,0,0,0,0,266,23.8,852,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_2_l_d","Model 3",".800",3.179,"N = 5000",5000,2,".33, .33, .33","D",1118,385,34.4,5,0.4,0,0,387,34.6,731,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_3_l_0.3","Model 3",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.3",842,221,26.2,0,0,0,0,221,26.2,621,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_3_l_0.5","Model 3",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.5",952,290,30.5,0,0,0,0,290,30.5,662,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_3_l_0.7","Model 3",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.7",988,319,32.3,0,0,0,0,319,32.3,669,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_3_l_0.9","Model 3",".800",3.179,"N = 5000",5000,3,".60, .30, .10","0.9",952,318,33.4,0,0,0,0,318,33.4,634,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_3_l_a","Model 3",".800",3.179,"N = 5000",5000,3,".60, .30, .10","A",952,265,27.8,0,0,0,0,265,27.8,687,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_3_l_b","Model 3",".800",3.179,"N = 5000",5000,3,".60, .30, .10","B",952,212,22.3,0,0,0,0,212,22.3,740,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_3_l_c","Model 3",".800",3.179,"N = 5000",5000,3,".60, .30, .10","C",952,167,17.5,0,0,0,0,167,17.5,785,"No"
"rilta_lta_m3_n_5000_tp_3.179_m_3_l_d","Model 3",".800",3.179,"N = 5000",5000,3,".60, .30, .10","D",951,222,23.3,1,0.1,0,0,223,23.4,728,"No"
