"N_numeric","N","Population","Model","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"500","N = 500",".800","Model 2",3.179,3,".60, .30, .10","C",500,14,0.8,4.2,18.8,14.3,0.7,3.4,18,833,683,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,3,".60, .30, .10","C",497,18.9,0,5,22.7,18.9,0,3.9,21.9,903,705,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,3,".60, .30, .10","D",498,46.4,1,45,70.9,47.5,1.1,44.3,70,2861,858,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,3,".60, .30, .10","D",497,13.1,0,3,16.1,11.9,0,2,13.9,830,715,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,3,".60, .30, .10","D",499,18.2,0.2,11.6,27.3,18.5,0.2,11.5,27.4,905,657,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","0.3",500,46.4,0.2,9.4,50.2,47.3,0.1,9.3,52,1344,645,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","0.3",500,5.2,0.4,0.6,6.2,5.5,0.3,0.6,6.4,659,617,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","0.3",499,20.6,0,0.8,21.4,19.2,0.1,0.8,20.1,793,634,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","0.5",500,49.4,0.4,8,53.2,47.6,0.5,8.6,52.4,1452,691,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","0.5",498,4.6,0.8,0.6,6,4.1,0.9,0.5,5.5,653,617,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","0.5",500,20.8,0.2,0.6,21.6,21.2,0.3,0.6,21.8,797,623,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","0.7",500,53,0.4,11.2,59,50.9,0.5,11.5,56.7,1721,745,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","0.7",499,5.4,0.8,0.4,6.4,4.9,0.8,0.5,5.9,657,618,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","0.7",499,21.4,0.2,0.4,21.8,23.7,0.3,0.4,24.1,797,605,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","0.9",500,56.2,0.2,17.6,63,55,0.3,17.1,62.2,1978,747,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","0.9",497,10.7,0.2,1.2,12.1,11.6,0.1,1,12.8,698,609,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","0.9",500,37.2,0,0.2,37.2,39.6,0,0.1,39.6,1021,617,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","A",500,40,1.4,30.4,60,40.2,1.8,26.3,56.8,1979,854,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","A",498,5.2,1,1,7.2,4.9,0.9,0.9,6.6,698,652,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","A",500,24,0.2,3.2,25.6,25.1,0.2,3.1,26.4,1021,751,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","B",500,47,0.4,12.6,54.4,44.7,0.3,11.1,50.6,1979,978,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","B",499,5,0.2,1.2,6.4,4.3,0.1,1,5.4,701,663,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","B",499,21,0,0.4,21.4,20.9,0,0.8,21.5,1020,801,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","C",500,44.8,1.2,14.4,52.8,45,0.6,13.3,52.8,1979,935,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","C",500,5.6,0.2,0.6,6.4,5.4,0.1,0.4,6,702,660,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","C",500,22.8,0,1.8,24,22.2,0,1.3,23.1,1021,785,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","D",500,45.8,0.8,16.2,52.8,46.3,1.2,15.5,54.7,1978,897,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","D",499,7,0.2,0,7.2,6.9,0.1,0,7,699,650,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","D",499,17.8,0,2.2,19.4,18.5,0,2.3,20.5,1019,810,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,2,".33, .33, .33","0.3",500,49.2,0.8,4.2,51.8,50.6,0.4,5,53.2,1400,655,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,2,".33, .33, .33","0.3",497,9.5,1,0.4,10.9,10,0.7,0.3,11.1,687,611,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,2,".33, .33, .33","0.3",500,27.2,0,0,27.2,26.5,0,0,26.5,864,635,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,2,".33, .33, .33","0.5",500,52,0.2,3.2,54.2,51.8,0.3,3.4,53.8,1492,689,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,2,".33, .33, .33","0.5",498,10.4,1,0.4,11.8,9,0.7,0.4,10.2,698,627,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,2,".33, .33, .33","0.5",500,32.2,0,0,32.2,30.6,0,0.1,30.6,936,650,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,2,".33, .33, .33","0.7",500,58.8,0.4,3.6,60.2,53.5,0.3,3.9,55.2,1792,802,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,2,".33, .33, .33","0.7",498,14.1,0.2,0.4,14.7,12.2,0.3,0.4,12.8,724,631,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,2,".33, .33, .33","0.7",500,24.8,0,0,24.8,25.4,0,0,25.4,834,622,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,2,".33, .33, .33","0.9",497,55.1,0.2,5.6,57.9,54.1,0.2,7,57.3,1650,704,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,2,".33, .33, .33","0.9",498,16.1,0.8,0.2,16.9,16.8,0.8,0.1,17.6,743,612,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,2,".33, .33, .33","0.9",500,30.8,0,0,30.8,33.7,0,0.1,33.8,914,605,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,2,".33, .33, .33","A",500,47,2.4,22.2,59,47.7,2.1,22.1,60,1654,661,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,2,".33, .33, .33","A",500,8.4,0.2,0.2,8.8,7.9,0.5,0.1,8.6,743,679,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,2,".33, .33, .33","A",500,30,0.2,0,30.2,29.7,0.1,0,29.8,915,642,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,2,".33, .33, .33","B",500,51.2,0.2,8.6,55.6,50.9,0.5,7.6,54.8,1654,747,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,2,".33, .33, .33","B",498,10.4,0.6,0.2,11.2,11.7,0.5,0.1,12.4,743,651,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,2,".33, .33, .33","B",500,25.6,0.2,0.2,25.8,25.6,0.2,0.2,25.9,914,677,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,2,".33, .33, .33","C",500,53.6,0.2,8.8,58.4,54.1,0.5,7.9,58.1,1654,693,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,2,".33, .33, .33","C",498,11.8,0.2,0.8,12.9,13.2,0.1,0.8,14.1,744,639,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,2,".33, .33, .33","C",500,23.6,0.2,0,23.8,24.6,0.1,0,24.7,915,689,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,2,".33, .33, .33","D",500,57.6,0.8,9.8,62.4,55,0.5,8.2,58.9,1654,680,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,2,".33, .33, .33","D",499,11.4,0.2,0.4,12,12.2,0.1,0.4,12.8,744,649,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,2,".33, .33, .33","D",500,23.6,0.8,2.6,25.8,23.3,0.5,2.4,25,915,686,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,3,".60, .30, .10","0.3",499,45.1,0.2,12.6,51.1,45.3,0.2,12.6,52,1368,656,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,3,".60, .30, .10","0.3",497,12.7,0.4,0.4,13.5,12.3,0.4,0.4,13.1,709,616,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,3,".60, .30, .10","0.3",498,24.1,0,0,24.1,23.9,0,0,23.9,821,625,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,3,".60, .30, .10","0.5",498,44,0.2,11.2,49.8,44.3,0.2,12.6,51.3,1322,644,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,3,".60, .30, .10","0.5",498,11,0.2,0,11.2,11,0.1,0,11.1,694,617,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,3,".60, .30, .10","0.5",499,24.4,0,0.2,24.6,24.2,0,0.2,24.5,829,626,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,3,".60, .30, .10","0.7",494,52,0.2,12.3,57.7,47,0.4,13.3,53.8,1618,747,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,3,".60, .30, .10","0.7",498,13.9,0.2,0,14.1,13.1,0.3,0,13.3,716,621,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,3,".60, .30, .10","0.7",500,28,0,0.8,28.8,28.4,0,0.5,28.9,886,630,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,3,".60, .30, .10","0.9",493,49.1,0,16.6,57.4,47.5,0,18,56.5,1593,693,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,3,".60, .30, .10","0.9",498,13.5,0.2,0.2,13.9,12.9,0.1,0.1,13.1,715,621,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,3,".60, .30, .10","0.9",500,28.6,0,0,28.6,26.5,0,0.2,26.8,882,646,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,3,".60, .30, .10","A",499,49.9,2.8,41.5,71.3,49.9,1.9,39.2,69.1,1615,499,"⚠️ Additional Runs Required"
"1000","N = 1000",".200","Model 2",0.407,3,".60, .30, .10","A",495,10.7,0,0.6,11.3,10.7,0,0.4,11.1,712,633,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,3,".60, .30, .10","A",498,22.9,0,0.2,23.1,21.7,0,0.1,21.8,879,687,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,3,".60, .30, .10","B",499,45.1,0.2,15.4,53.7,45.2,0.4,15.1,53.4,1611,751,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,3,".60, .30, .10","B",497,14.7,0.2,0.2,15.1,13.7,0.1,0.3,14.1,714,613,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,3,".60, .30, .10","B",500,23.4,0,0,23.4,22.3,0,0.1,22.3,883,686,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,3,".60, .30, .10","C",499,43.1,0.2,16.4,52.3,43,0.6,15.8,51.9,1612,775,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,3,".60, .30, .10","C",498,12.4,0.6,0.6,13.7,13,0.4,0.4,13.9,713,614,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,3,".60, .30, .10","C",499,23.4,0.2,0.2,23.6,21.4,0.3,0.2,21.7,880,689,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,3,".60, .30, .10","D",499,46.1,1.2,16.6,55.5,44.7,0.6,16.4,54.5,1612,733,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,3,".60, .30, .10","D",498,11.6,0.2,0.6,12,12.3,0.6,0.4,12.8,716,624,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,3,".60, .30, .10","D",499,20.6,0.4,0.4,21.4,21.2,0.3,0.3,21.8,882,690,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,1,".10, .30, .60","0.3",499,46.5,1.6,20.8,59.1,48.5,0.6,20,59.3,1722,700,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,1,".10, .30, .60","0.3",497,7.4,0.4,1,8.9,7.7,0.3,0.7,8.8,672,613,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,1,".10, .30, .60","0.3",498,22.1,0,6.6,26.9,22.1,0,7.5,27.6,855,619,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,1,".10, .30, .60","0.5",500,53.8,0.2,21.8,62.2,52.1,0.6,21.8,63.2,1919,706,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,1,".10, .30, .60","0.5",497,9.9,0,1.6,11.3,10.4,0.1,1.3,11.7,691,610,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,1,".10, .30, .60","0.5",500,23.4,0,5,27.2,23.2,0,4.3,26.7,865,634,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,1,".10, .30, .60","0.7",500,57.4,0.4,27.2,70.6,54.6,0.3,26.8,67.5,2773,901,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,1,".10, .30, .60","0.7",500,14.4,0.2,3.6,18,13.3,0.1,2.6,16,758,637,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,1,".10, .30, .60","0.7",500,25.8,0,2.8,28.2,26.8,0,2.2,28.5,878,628,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,1,".10, .30, .60","0.9",500,63.6,0.2,36.4,77.8,61.2,0.2,34.4,74.9,4511,1134,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,1,".10, .30, .60","0.9",499,13,0.2,2.6,15.8,12.4,0.1,2.7,15.2,735,623,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,1,".10, .30, .60","0.9",500,30.8,0,1.4,32,30.8,0,1.2,31.6,933,638,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,1,".10, .30, .60","A",499,42.3,1.8,32.5,63.1,39.5,2.1,34.9,63,4515,1671,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,1,".10, .30, .60","A",493,9.3,0.8,1,11.2,8.7,0.6,1.2,10.5,723,647,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,1,".10, .30, .60","A",500,25.8,0.2,3.2,28.4,24,0.1,4.6,27.6,932,675,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,1,".10, .30, .60","B",500,48.8,0.8,16.8,58.4,49,0.7,17.8,58.9,4518,1857,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,1,".10, .30, .60","B",498,8.2,0.2,2.8,11.2,8.4,0.3,2.2,10.9,735,655,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,1,".10, .30, .60","B",497,18.7,0,9.7,27,19.2,0.2,8.9,26.6,930,683,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,1,".10, .30, .60","C",500,46.4,1,17.2,56.8,49.1,0.7,17.8,58.4,4519,1878,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,1,".10, .30, .60","C",499,10.6,0.2,2.8,13.2,9.6,0.3,2.3,12,736,648,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,1,".10, .30, .60","C",499,20.6,0,13.8,30.3,21,0,11.5,29.3,932,659,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,1,".10, .30, .60","D",500,45,1.6,20,55.4,48.2,0.8,19.7,58.6,4515,1868,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,1,".10, .30, .60","D",500,8.4,0,2,10.2,9.5,0,3.5,12.6,737,644,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,1,".10, .30, .60","D",500,20.6,0,13.8,31.4,21,0,13.6,31,933,644,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,2,".33, .33, .33","0.3",500,61.4,0.2,8,64.4,59.8,0.5,8.9,64,2088,752,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,2,".33, .33, .33","0.3",499,20,0.2,0,20.2,20,0.1,0,20.1,780,623,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,2,".33, .33, .33","0.3",500,30.4,0,0,30.4,31.7,0,0.3,31.9,908,618,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,2,".33, .33, .33","0.5",500,55.6,0.4,8.4,59.6,57.2,0.3,9.1,62,1756,668,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,2,".33, .33, .33","0.5",498,19.9,0,0,19.9,19.3,0,0,19.3,773,624,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,2,".33, .33, .33","0.5",500,31.8,0,0.4,32.2,31.6,0,0.3,31.9,935,637,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,2,".33, .33, .33","0.7",500,61,0.2,13.2,66.2,58.8,0.4,12.3,64.3,2244,800,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,2,".33, .33, .33","0.7",499,21.6,0.2,0,21.8,22.1,0.1,0,22.2,797,620,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,2,".33, .33, .33","0.7",500,34,0,0.2,34,36.9,0,0.2,37,964,607,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,2,".33, .33, .33","0.9",497,66,0,17.9,72,62,0.2,17.8,68.8,2967,926,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,2,".33, .33, .33","0.9",499,25.7,0,0,25.7,27.3,0,0,27.3,843,613,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,2,".33, .33, .33","0.9",500,37,0,0.2,37.2,38.6,0,0.1,38.7,1021,626,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,2,".33, .33, .33","A",499,50.3,2.6,26.7,65.5,51.7,2.1,26.8,66.4,2978,1000,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,2,".33, .33, .33","A",494,22.7,0.4,0,23.1,20.8,0.2,0,21,838,662,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,2,".33, .33, .33","A",500,29.2,0,0.2,29.2,30.2,0,0.5,30.5,1021,710,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,2,".33, .33, .33","B",500,56.4,0.6,9.6,61,57.7,0.5,8.7,61.8,2979,1138,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,2,".33, .33, .33","B",499,20,0.2,0,20.2,20.7,0.1,0,20.8,841,666,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,2,".33, .33, .33","B",500,27.8,0,1.2,28.8,28.8,0,0.9,29.5,1021,720,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,2,".33, .33, .33","C",500,55.8,1.2,8.8,60.8,56.3,0.7,9.3,60.9,2979,1166,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,2,".33, .33, .33","C",499,21,0,0,21,20.5,0,0,20.5,841,669,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,2,".33, .33, .33","C",500,27,0,3,29.6,29.1,0,2.9,31.5,1021,699,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,2,".33, .33, .33","D",500,55.2,0.8,8.8,59,57,0.7,9.7,61.2,2978,1154,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,2,".33, .33, .33","D",498,19.9,0.2,0,19.9,18.4,0.1,0.1,18.5,842,686,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,2,".33, .33, .33","D",500,27.2,0.2,4.8,31,29.6,0.1,5.3,33.5,1021,679,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,3,".60, .30, .10","0.3",497,43.7,0.6,18.1,54.5,44.9,0.3,18.1,55,1492,671,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,3,".60, .30, .10","0.3",497,19.5,0.2,0.4,20.1,18,0.1,0.4,18.5,773,630,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,3,".60, .30, .10","0.3",500,20.6,0,0,20.6,21.1,0,0,21.1,786,620,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,3,".60, .30, .10","0.5",499,44.7,0.2,18.6,54.7,45.4,0.3,18.4,54.8,1508,681,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,3,".60, .30, .10","0.5",499,17.4,0.6,0,17.6,18.2,0.4,0,18.4,751,613,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,3,".60, .30, .10","0.5",500,26.8,0,0,26.8,27.1,0,0,27.1,859,626,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,3,".60, .30, .10","0.7",500,52.8,0.2,21,62.8,52.9,0.3,21.4,62.1,1962,744,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,3,".60, .30, .10","0.7",499,17.4,0.2,0,17.4,18.2,0.1,0,18.2,751,614,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,3,".60, .30, .10","0.7",500,25.2,0,0.2,25.4,25.9,0,0.2,26.1,842,622,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,3,".60, .30, .10","0.9",495,59.4,0.4,30.5,68.9,58.5,0.3,28.9,68.6,2498,784,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,3,".60, .30, .10","0.9",498,23.5,0,0.2,23.5,23.9,0,0.1,23.9,813,619,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,3,".60, .30, .10","0.9",500,24.8,0,0.6,25.4,24.1,0,0.5,24.6,842,635,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,3,".60, .30, .10","A",500,56.6,1.2,43.4,73.2,57.8,1.3,43.1,74.4,2514,644,"✅ Fixed"
"1000","N = 1000",".800","Model 2",3.179,3,".60, .30, .10","A",500,15,0,0.2,15.2,16.7,0.1,0.1,16.8,816,679,"✅ Fixed"
"1000","N = 1000",".800","Model 3",3.179,3,".60, .30, .10","A",500,22.8,0,0,22.8,22.5,0,0.1,22.5,841,652,"✅ Fixed"
"1000","N = 1000",".800","Model 1",3.179,3,".60, .30, .10","B",500,46.4,0.2,25,58.4,44.5,0.6,21.8,56.4,2509,1094,"✅ Fixed"
